,STATENAME,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,MAN_COLLNAME,HIT_RUN,TOW_VEH,GVWRNAME,V_CONFIGNAME,CARGO_BTNAME,HAZ_INV,ROLLOVERNAME,DEFORMEDNAME,VTRAFWAYNAME,VNUM_LANNAME,VSPD_LIMNAME,VALIGNNAME,VPROFILENAME,VSURCONDNAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,LGT_CONDNAME,WEATHERNAME,FATALS,DRUNK_DR,INJ_SEV,INJ_SEVNAME
213,Alabama,10109,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Downhill,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Cloudy,1,0,4,Fatal Injury (K)
220,Alabama,10112,2,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,1,0,No Apparent Injury (O)
235,Alabama,10120,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Right,Uphill,Dry,U.S. Highway,Rural,Minor Arterial,Dawn,Cloudy,1,0,0,No Apparent Injury (O)
257,Alabama,10130,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,65 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Lighted,Cloudy,1,0,4,Fatal Injury (K)
262,Alabama,10132,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
279,Alabama,10141,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Dump,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Left,Level,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,0,1,Possible Injury (C)
306,Alabama,10153,2,2,1,Front-to-Rear,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,No Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,35 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Lighted,Clear,1,1,0,No Apparent Injury (O)
310,Alabama,10157,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Sag (Bottom),Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,0,4,Fatal Injury (K)
356,Alabama,10177,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Downhill,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,4,Fatal Injury (K)
383,Alabama,10192,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Uphill,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
389,Alabama,10197,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,50 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
430,Alabama,10219,3,3,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,No Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,Uphill,Dry,County Road,Urban,Major Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
432,Alabama,10220,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,Hillcrest,Dry,County Road,Rural,Minor Collector,Dawn,Clear,1,0,1,Possible Injury (C)
478,Alabama,10245,2,3,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Three lanes,45 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
493,Alabama,10254,3,3,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,2,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Uphill,Dry,State Highway,Rural,Minor Arterial,Dark - Not Lighted,Cloudy,1,0,3,Suspected Serious Injury (A)
498,Alabama,10257,2,2,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,2,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
512,Alabama,10262,2,2,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Three lanes,55 MPH,Straight,Uphill,Wet,State Highway,Urban,Principal Arterial - Other,Daylight,Rain,1,0,0,No Apparent Injury (O)
519,Alabama,10266,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Garbage/Refuse,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,30 MPH,Curve - Right,Level,Dry,Local Street - Municipality,Urban,Major Collector,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
522,Alabama,10267,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,40 MPH,Straight,Uphill,Dry,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
535,Alabama,10271,1,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,1,0,No Apparent Injury (O)
543,Alabama,10274,3,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dawn,Clear,1,1,2,Suspected Minor Injury (B)
546,Alabama,10276,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Garbage/Refuse,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,4,Fatal Injury (K)
552,Alabama,10279,2,2,2,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
553,Alabama,10279,2,2,2,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
558,Alabama,10281,1,2,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Intermodal Container Chassis,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Downhill,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,2,Suspected Minor Injury (B)
559,Alabama,10281,2,2,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Uphill,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,4,Fatal Injury (K)
597,Alabama,10299,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Four lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
638,Alabama,10320,2,2,1,Angle,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Cargo Tank,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Four lanes,45 MPH,Straight,Level,Dry,County Road,Rural,Minor Arterial,Daylight,Clear,1,0,0,No Apparent Injury (O)
643,Alabama,10322,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,1,0,No Apparent Injury (O)
646,Alabama,10324,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Downhill,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,4,Fatal Injury (K)
661,Alabama,10328,2,2,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Left,Level,Wet,U.S. Highway,Rural,Minor Arterial,Daylight,Cloudy,1,0,2,Suspected Minor Injury (B)
697,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
698,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
699,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
700,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
701,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
702,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
703,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
704,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
705,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
706,Alabama,10350,1,1,10,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
721,Alabama,10355,2,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dusk,Cloudy,1,0,0,No Apparent Injury (O)
722,Alabama,10355,2,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dusk,Cloudy,1,0,0,No Apparent Injury (O)
740,Alabama,10361,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Flatbed,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,4,Fatal Injury (K)
788,Alabama,10379,2,2,2,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
789,Alabama,10379,2,2,2,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
837,Alabama,10395,2,2,1,Angle,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Three lanes,40 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
873,Alabama,10412,2,3,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Three lanes,65 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
942,Alabama,10448,1,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,2,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Three lanes,35 MPH,Straight,Uphill,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Lighted,Clear,1,1,0,No Apparent Injury (O)
949,Alabama,10451,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Uphill,Dry,State Highway,Rural,Minor Arterial,Daylight,Cloudy,1,0,2,Suspected Minor Injury (B)
953,Alabama,10454,2,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,65 MPH,Straight,Downhill,Wet,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Rain,1,0,2,Suspected Minor Injury (B)
963,Alabama,10459,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Concrete Mixer,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,1,Possible Injury (C)
966,Alabama,10461,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Concrete Mixer,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Downhill,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,0,4,Fatal Injury (K)
974,Alabama,10467,1,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,Uphill,Dry,County Road,Rural,Major Collector,Dark - Not Lighted,Clear,2,0,0,No Apparent Injury (O)
975,Alabama,10467,1,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,Uphill,Dry,County Road,Rural,Major Collector,Dark - Not Lighted,Clear,2,0,0,No Apparent Injury (O)
1070,Alabama,10512,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Four lanes,50 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Cloudy,1,1,1,Possible Injury (C)
1092,Alabama,10524,2,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,2,1,4,Fatal Injury (K)
1101,Alabama,10527,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,30 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Major Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
1113,Alabama,10532,4,5,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Downhill,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,2,0,0,No Apparent Injury (O)
1117,Alabama,10535,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,2,"26,001 lbs. or more",Truck Tractor/Double,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,4,Fatal Injury (K)
1119,Alabama,10537,1,4,1,Angle,0,0,"26,001 lbs. or more",Truck Tractor (Bobtail),No Cargo Body Type,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Four lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,1,0,No Apparent Injury (O)
1126,Alabama,10540,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,60 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
1171,Alabama,10560,1,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,Entrance/Exit Ramp,One lane,35 MPH,Straight,Level,Dry,State Highway,Rural,Minor Arterial,Dawn,Clear,1,0,0,No Apparent Injury (O)
1173,Alabama,10561,1,3,1,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,Uphill,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,0,3,Suspected Serious Injury (A)
